tracking_id	FPKM	FPKM
ENSDARG00000037262	0	0
ENSDARG00000077817	0	0
ENSDARG00000084721	0	0
ENSDARG00000076928	0	0
ENSDARG00000009685	0	0
ENSDARG00000079377	0	0.00400759
ENSDARG00000091678	0	0
ENSDARG00000014790	0	0
ENSDARG00000019581	0	0.00145503
ENSDARG00000089644	0	0
ENSDARG00000092127	0	0
ENSDARG00000087925	0	0.00207033
ENSDARG00000096665	0	0
ENSDARG00000079925	0	0
ENSDARG00000053731	0	0
ENSDARG00000094127	0	0
ENSDARG00000005210	0	0
ENSDARG00000023330	29.1659	25.4053
ENSDARG00000096667	0.0264053	0.246984
ENSDARG00000037245	0	0
ENSDARG00000096554	4.86895	1.13879
ENSDARG00000079266	0	0
ENSDARG00000023600	0	0
ENSDARG00000033345	0	0
ENSDARG00000069989	0	0
ENSDARG00000095189	0	0
ENSDARG00000037253	0	0
ENSDARG00000006621	0	0
ENSDARG00000069996	0	0
ENSDARG00000020608	0	0
ENSDARG00000031632	0	0
ENSDARG00000071237	0	0.0212607
ENSDARG00000018745	1.62433	0
ENSDARG00000095954	0	0
ENSDARG00000095895	0	0
ENSDARG00000069964	0	0
ENSDARG00000089138	0	0
ENSDARG00000089334	0	0
ENSDARG00000078963	0	0
ENSDARG00000053456	0	0
ENSDARG00000053466	0	0
ENSDARG00000053463	0	0
ENSDARG00000037109	0.00361618	0.00277172
ENSDARG00000096538	0	0
ENSDARG00000005739	0.00190007	0
ENSDARG00000053496	0	0
ENSDARG00000053500	0	0
ENSDARG00000053502	0	0
ENSDARG00000035080	0	0
ENSDARG00000037100	0.0362844	0.0281105
ENSDARG00000096627	0	0
ENSDARG00000096648	0	0
ENSDARG00000075193	0	0
ENSDARG00000069804	0	0
ENSDARG00000078546	0	0
ENSDARG00000037099	0	0
ENSDARG00000060620	0	0
ENSDARG00000075858	0	0
ENSDARG00000081408	0	0
ENSDARG00000096592	0	0
ENSDARG00000096643	0.0253052	0
ENSDARG00000093663	0	0.00928372
ENSDARG00000096555	0.0119844	0.00928372
ENSDARG00000096544	0	0
ENSDARG00000069799	0	0
ENSDARG00000074117	0	0
ENSDARG00000092653	0	0
ENSDARG00000061732	0.00789487	0.0151199
ENSDARG00000095590	0.454734	0.885343
ENSDARG00000031202	0	0
ENSDARG00000037144	0	0
ENSDARG00000037177	0.381855	1.69061
ENSDARG00000003866	0	0
ENSDARG00000037178	0	0
ENSDARG00000028982	0	1.07446
ENSDARG00000055839	0	0
ENSDARG00000088208	0	0
ENSDARG00000096641	0	0
ENSDARG00000060477	0	0
ENSDARG00000082429	0	0
ENSDARG00000085585	0	0
ENSDARG00000096572	0	0
ENSDARG00000091513	0	0
ENSDARG00000026771	0	0
ENSDARG00000096632	0	0
ENSDARG00000061661	0	0
ENSDARG00000093065	0	0
ENSDARG00000074302	0	0
ENSDARG00000060581	0	0
ENSDARG00000069756	0	0
ENSDARG00000003142	0	0
ENSDARG00000096668	0	0.0307244
ENSDARG00000042688	0.0064181	0.0049239
ENSDARG00000060559	0	0
ENSDARG00000091270	0	0
ENSDARG00000096527	0	0
ENSDARG00000092278	0	0
ENSDARG00000019715	0	0
ENSDARG00000017174	0.00882278	0.00677409
ENSDARG00000069946	0	0
ENSDARG00000074575	0.00250056	0
ENSDARG00000069951	0	0
ENSDARG00000069953	0	0
ENSDARG00000093358	0	0
ENSDARG00000094957	0	0
ENSDARG00000013690	0	0
ENSDARG00000089013	0	0
ENSDARG00000040780	0	0.00950673
ENSDARG00000033680	0	0
ENSDARG00000078902	0	0
ENSDARG00000039616	0	0
ENSDARG00000095941	0	0
ENSDARG00000018611	0.0247719	0
ENSDARG00000053269	0	0
ENSDARG00000039615	0	0
ENSDARG00000060501	0.0560942	0.0539287
ENSDARG00000039613	0.0123958	0
ENSDARG00000029751	0	0
ENSDARG00000027572	0	0
ENSDARG00000084717	0	0
ENSDARG00000078733	0	0
ENSDARG00000058231	0	0
ENSDARG00000053248	0	0
ENSDARG00000012896	0	0
ENSDARG00000096540	0	0
ENSDARG00000053241	0	0
ENSDARG00000069834	0	0
ENSDARG00000096604	0	0
ENSDARG00000088777	0	0
ENSDARG00000096548	0	0
ENSDARG00000027826	0	0
ENSDARG00000085202	0	0
ENSDARG00000079455	0	0
ENSDARG00000085065	0	0
ENSDARG00000089053	0	0
ENSDARG00000078810	0.00227735	0
ENSDARG00000073745	0.00227735	0
ENSDARG00000085680	0	0
ENSDARG00000094318	0	0
ENSDARG00000060716	0	0
ENSDARG00000074815	0	0
ENSDARG00000033380	0	0
ENSDARG00000051975	0	0
ENSDARG00000079280	0	0
ENSDARG00000053586	0.102469	0.0638726
ENSDARG00000002190	0.0130911	0.00502186
